Rank,Code,Name,Last_Date,Last_Close,Up_Prob,Recommendation
1,601698,中国卫通,2026-01-12,53.88,0.9899,Buy
2,300122,智飞生物,2026-01-12,20.08,0.7849,Buy
3,600115,中国东航,2026-01-12,6.0,0.7673,Buy
4,603195,公牛集团,2026-01-12,41.7,0.757,Buy
5,601816,京沪高铁,2026-01-12,5.15,0.7562,Buy
6,603369,今世缘,2026-01-12,35.85,0.7504,Buy
7,000876,新 希 望,2026-01-12,9.28,0.7432,Buy
8,600176,中国巨石,2026-01-12,17.82,0.7207,Buy
9,601899,紫金矿业,2026-01-12,37.26,0.7151,Buy
10,300896,爱美客,2026-01-12,151.0,0.7126,Buy
11,000858,五 粮 液,2026-01-12,108.55,0.7108,Buy
12,603019,中科曙光,2026-01-12,95.99,0.7083,Buy
13,001391,国货航,2026-01-12,6.07,0.6992,Buy
14,600887,伊利股份,2026-01-12,27.74,0.6989,Buy
15,600085,同仁堂,2026-01-12,32.51,0.695,Buy
16,300979,华利集团,2026-01-12,50.75,0.6914,Buy
17,000630,铜陵有色,2026-01-12,5.93,0.6891,Buy
18,600372,中航机载,2026-01-12,16.52,0.6855,Buy
19,601607,上海医药,2026-01-12,17.92,0.6822,Buy
20,688506,百利天恒,2026-01-12,344.0,0.6818,Buy
21,600930,华电新能,2026-01-12,6.38,0.6706,Buy
22,001965,招商公路,2026-01-12,9.81,0.667,Buy
23,300394,天孚通信,2026-01-12,202.41,0.6639,Buy
24,688187,时代电气,2026-01-12,52.47,0.6636,Buy
25,002179,中航光电,2026-01-12,40.58,0.6584,Buy
26,000063,中兴通讯,2026-01-12,42.44,0.654,Buy
27,600000,浦发银行,2026-01-12,11.66,0.6525,Buy
28,600436,片仔癀,2026-01-12,173.28,0.652,Buy
29,600845,宝信软件,2026-01-12,24.94,0.6517,Buy
30,601377,兴业证券,2026-01-12,7.29,0.6482,Buy
31,300308,中际旭创,2026-01-12,591.97,0.6435,Buy
32,601018,宁波港,2026-01-12,3.69,0.6405,Buy
33,603392,万泰生物,2026-01-12,47.37,0.6403,Buy
34,600900,长江电力,2026-01-12,27.4,0.6363,Buy
35,600161,天坛生物,2026-01-12,17.08,0.6337,Buy
36,600025,华能水电,2026-01-12,9.2,0.6335,Buy
37,600803,新奥股份,2026-01-12,19.96,0.6326,Buy
38,000725,京东方A,2026-01-12,4.46,0.6296,Buy
39,601398,工商银行,2026-01-12,7.74,0.6276,Buy
40,600460,士兰微,2026-01-12,29.82,0.6266,Buy
41,601658,邮储银行,2026-01-12,5.34,0.6257,Buy
42,601788,光大证券,2026-01-12,18.07,0.6256,Buy
43,002920,德赛西威,2026-01-12,138.82,0.6243,Buy
44,000651,格力电器,2026-01-12,40.53,0.6205,Buy
45,600018,上港集团,2026-01-12,5.5,0.6201,Buy
46,601939,建设银行,2026-01-12,9.11,0.6185,Buy
47,000776,广发证券,2026-01-12,22.71,0.6185,Buy
48,000768,中航西飞,2026-01-12,30.58,0.6163,Buy
49,300803,指南针,2026-01-12,147.84,0.6144,Buy
50,300999,金龙鱼,2026-01-12,29.86,0.6144,Buy
51,300433,蓝思科技,2026-01-12,42.66,0.6126,Buy
52,002304,洋河股份,2026-01-12,63.2,0.6125,Buy
53,601059,信达证券,2026-01-12,17.9,0.6112,Buy
54,600522,中天科技,2026-01-12,18.61,0.6101,Buy
55,600377,宁沪高速,2026-01-12,11.87,0.6078,Buy
56,601766,中国中车,2026-01-12,7.07,0.6072,Buy
57,600795,国电电力,2026-01-12,4.96,0.6069,Buy
58,601100,恒立液压,2026-01-12,117.6,0.6059,Buy
59,688223,晶科能源,2026-01-12,6.4,0.602,Buy
60,300760,迈瑞医疗,2026-01-12,208.03,0.599,Buy
61,000596,古井贡酒,2026-01-12,141.73,0.5984,Buy
62,600760,中航沈飞,2026-01-12,62.67,0.5943,Buy
63,600027,华电国际,2026-01-12,5.04,0.5922,Buy
64,600406,国电南瑞,2026-01-12,23.75,0.5906,Buy
65,000708,中信特钢,2026-01-12,15.82,0.5884,Buy
66,600999,招商证券,2026-01-12,17.35,0.5868,Buy
67,002352,顺丰控股,2026-01-12,39.01,0.5864,Buy
68,600111,北方稀土,2026-01-12,52.48,0.5846,Buy
69,600600,青岛啤酒,2026-01-12,63.09,0.5842,Buy
70,002415,海康威视,2026-01-12,31.64,0.5833,Buy
71,000938,紫光股份,2026-01-12,27.0,0.5789,Buy
72,688082,盛美上海,2026-01-12,197.7,0.5778,Buy
73,601328,交通银行,2026-01-12,7.1,0.5763,Buy
74,601633,长城汽车,2026-01-12,22.17,0.5753,Buy
75,000983,山西焦煤,2026-01-12,7.06,0.5749,Buy
76,600519,贵州茅台,2026-01-12,1423.23,0.574,Buy
77,601166,兴业银行,2026-01-12,20.92,0.569,Buy
78,600919,江苏银行,2026-01-12,10.5,0.5671,Buy
79,600030,中信证券,2026-01-12,28.78,0.565,Buy
80,000166,申万宏源,2026-01-12,5.43,0.5624,Buy
81,600019,宝钢股份,2026-01-12,7.33,0.5586,Buy
82,600547,山东黄金,2026-01-12,45.01,0.5566,Buy
83,688036,传音控股,2026-01-12,71.47,0.5562,Buy
84,002600,领益智造,2026-01-12,18.33,0.5534,Buy
85,601728,中国电信,2026-01-12,6.37,0.5518,Buy
86,603501,豪威集团,2026-01-12,133.55,0.551,Buy
87,600438,通威股份,2026-01-12,21.27,0.5508,Buy
88,002736,国信证券,2026-01-12,13.52,0.5492,Hold
89,000792,盐湖股份,2026-01-12,31.96,0.5487,Hold
90,002594,比亚迪,2026-01-12,97.47,0.548,Hold
91,603986,兆易创新,2026-01-12,261.83,0.5477,Hold
92,601006,大秦铁路,2026-01-12,5.18,0.5469,Hold
93,600276,恒瑞医药,2026-01-12,63.85,0.5466,Hold
94,603296,华勤技术,2026-01-12,97.25,0.5428,Hold
95,301269,华大九天,2026-01-12,115.44,0.5376,Hold
96,601077,渝农商行,2026-01-12,6.51,0.5365,Hold
97,601618,中国中冶,2026-01-12,3.09,0.5365,Hold
98,300124,汇川技术,2026-01-12,80.85,0.5276,Hold
99,600690,海尔智家,2026-01-12,26.2,0.526,Hold
100,600809,山西汾酒,2026-01-12,179.83,0.5234,Hold
101,002252,上海莱士,2026-01-12,6.52,0.5233,Hold
102,002422,科伦药业,2026-01-12,33.95,0.5224,Hold
103,300661,圣邦股份,2026-01-12,73.29,0.5216,Hold
104,601818,光大银行,2026-01-12,3.46,0.5216,Hold
105,603893,瑞芯微,2026-01-12,197.0,0.5216,Hold
106,300628,亿联网络,2026-01-12,37.41,0.5206,Hold
107,002027,分众传媒,2026-01-12,8.04,0.5202,Hold
108,601669,中国电建,2026-01-12,5.41,0.5199,Hold
109,601186,中国铁建,2026-01-12,7.81,0.5171,Hold
110,600010,包钢股份,2026-01-12,2.69,0.5166,Hold
111,000625,长安汽车,2026-01-12,11.95,0.514,Hold
112,000157,中联重科,2026-01-12,8.87,0.5127,Hold
113,601298,青岛港,2026-01-12,8.37,0.5113,Hold
114,601628,中国人寿,2026-01-12,49.44,0.5104,Hold
115,600585,海螺水泥,2026-01-12,22.65,0.5101,Hold
116,601229,上海银行,2026-01-12,10.07,0.5094,Hold
117,600941,中国移动,2026-01-12,100.4,0.5085,Hold
118,600104,上汽集团,2026-01-12,15.42,0.5072,Hold
119,600415,小商品城,2026-01-12,16.55,0.5068,Hold
120,300498,温氏股份,2026-01-12,17.05,0.5032,Hold
121,000977,浪潮信息,2026-01-12,70.77,0.503,Hold
122,601881,中国银河,2026-01-12,16.25,0.5023,Hold
123,300033,同花顺,2026-01-12,393.37,0.5021,Hold
124,601360,三六零,2026-01-12,13.35,0.502,Hold
125,601995,中金公司,2026-01-12,36.24,0.502,Hold
126,002241,歌尔股份,2026-01-12,30.56,0.5016,Hold
127,002475,立讯精密,2026-01-12,55.43,0.4995,Hold
128,002371,北方华创,2026-01-12,501.85,0.4992,Hold
129,000100,TCL科技,2026-01-12,4.77,0.498,Hold
130,600570,恒生电子,2026-01-12,33.42,0.4969,Hold
131,600489,中金黄金,2026-01-12,25.02,0.4956,Hold
132,601111,中国国航,2026-01-12,9.01,0.4939,Hold
133,000661,长春高新,2026-01-12,103.57,0.4906,Hold
134,000568,泸州老窖,2026-01-12,119.29,0.4896,Hold
135,600958,东方证券,2026-01-12,10.99,0.4876,Hold
136,000617,中油资本,2026-01-12,9.97,0.4871,Hold
137,600023,浙能电力,2026-01-12,5.08,0.487,Hold
138,002466,天齐锂业,2026-01-12,61.3,0.4858,Hold
139,600031,三一重工,2026-01-12,22.56,0.4851,Hold
140,601288,农业银行,2026-01-12,7.52,0.4849,Hold
141,000895,双汇发展,2026-01-12,25.81,0.4846,Hold
142,601088,中国神华,2026-01-12,41.86,0.4831,Hold
143,688303,大全能源,2026-01-12,26.85,0.4827,Hold
144,601117,中国化学,2026-01-12,8.17,0.4825,Hold
145,605117,德业股份,2026-01-12,86.37,0.4819,Hold
146,601872,招商轮船,2026-01-12,10.7,0.4817,Hold
147,600926,杭州银行,2026-01-12,15.39,0.4784,Hold
148,601169,北京银行,2026-01-12,5.52,0.4782,Hold
149,688012,中微公司,2026-01-12,352.69,0.4777,Hold
150,601919,中远海控,2026-01-12,14.83,0.4774,Hold
151,003816,中国广核,2026-01-12,3.92,0.4773,Hold
152,600886,国投电力,2026-01-12,13.3,0.4754,Hold
153,600233,圆通速递,2026-01-12,16.92,0.4749,Hold
154,301236,软通动力,2026-01-12,54.39,0.4748,Hold
