Rank,Code,Name,Pred_Return,Weight_in_Bucket,Capital_in_Bucket
1,603501,豪威集团,0.049303364008665085,0.1,25000.0
2,688008,澜起科技,0.039371222257614136,0.1,25000.0
3,601628,中国人寿,0.03804388642311096,0.1,25000.0
4,688981,中芯国际,0.03566455841064453,0.1,25000.0
5,600809,山西汾酒,0.03330172970890999,0.1,25000.0
6,600050,中国联通,0.02660389430820942,0.1,25000.0
7,603019,中科曙光,0.025559259578585625,0.1,25000.0
8,600031,三一重工,0.021752703934907913,0.1,25000.0
9,600030,中信证券,0.021326521411538124,0.1,25000.0
10,601601,中国太保,0.01898752897977829,0.1,25000.0
